step,hv,diffToOptimal
13,0.1843677926337651,0.7585125156464133
26,0.20578093355551416,0.7370993747246642
66,0.21186512408455713,0.7310151841956213
133,0.4551781179518796,0.4877021903282988
266,0.5211928701779385,0.42168743810223996
666,0.8469818881932609,0.09589842008691751
1333,0.9092218689869891,0.033658439293189346
2666,0.9390702886966815,0.0038100195834969153
4000,0.9420708396882972,0.0008094685918812461
5333,0.9424901466137058,0.0003901616664726548
6666,0.9426257242648965,0.000254584015281889
8000,0.9427043240614473,0.0001759842187311067
9333,0.9427522071496066,0.0001281011305718227
10666,0.942782092349544,9.821593063441547e-05
12000,0.942804984903356,7.532337682247814e-05
13333,0.9428187211765026,6.158710367587528e-05
14666,0.9428307051445001,4.9603135678366606e-05
16000,0.9428397419262825,4.056635389593222e-05
17333,0.9428467715555037,3.353672467476532e-05
18666,0.9428530305239621,2.7277756216359528e-05
20000,0.9428589127523683,2.139552781010856e-05
21333,0.9428633119427859,1.6996337392494176e-05
22666,0.9428680598238847,1.2248456293773025e-05
24000,0.9428715550957812,8.753184397192193e-06
25333,0.9428745093285595,5.798951618896098e-06
26666,0.9428770598096087,3.248470569761075e-06
26700,0.9428773044697684,3.003810410073804e-06
