step,igd
13,5.993721730488814
26,6.200803947039673
66,6.200803947039673
133,6.200803947039673
266,5.088623289170081
666,4.247946337562923
1333,3.5737260882448116
2666,2.927208272869473
4000,2.18402126726689
5333,2.0772003576797022
6666,1.4435051994534056
8000,1.3230675536480123
9333,1.255193260379012
10666,1.0813678596941474
12000,0.9629873258695824
13333,0.8827560241767042
14666,0.7927242797946341
16000,0.6365032044968353
17333,0.3251835209970198
18666,0.22608120782915647
20000,0.2253862875376593
21333,0.226733896143488
22666,0.12791632157486937
24000,0.09475823304546731
25100,0.0653437144714349
